	(1)	(2)	(3)	(4)
VARIABLES	1	2	2	3
				
edyrs	0.050***	0.0501***	0.0501***	0.0501***
	(0.001)	(0.0012)	(0.0012)	(0.0015)
exp	0.014***	0.0140***	0.0140***	0.0140***
	(0.000)	(0.0005)	(0.0005)	(0.0005)
o.a_age_cr	-	-	-	-
				
female	-0.493***	-0.4926***	-0.4926***	-0.4926***
	(0.011)	(0.0108)	(0.0108)	(0.0106)
2.race5	0.030	0.2042***	0.2042***	0.0303
	(0.041)	(0.0441)	(0.0441)	(0.0414)
3.race5	-0.174***			-0.1739***
	(0.021)			(0.0208)
4.race5	-0.013	0.1607***	0.1607***	-0.0132
	(0.026)	(0.0282)	(0.0282)	(0.0244)
5.race5	-0.076*	0.0981**	0.0981**	-0.0758*
	(0.043)	(0.0440)	(0.0440)	(0.0429)
ukborn	0.067***	0.0668***	0.0668***	0.0668***
	(0.017)	(0.0174)	(0.0174)	(0.0171)
1.race5		0.1739***	0.1739***	
		(0.0206)	(0.0206)	
Constant	6.464***	6.2897***	6.2897***	6.4637***
	(0.029)	(0.0279)	(0.0279)	(0.0337)
				
Observations	21,276	21,276	21,276	21,276
R-squared	0.165	0.1651	0.1651	0.1651
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
