FREQ,REF_AREA,MEASURE,ACTIVITY,STRI_TYPE,OBS_VALUE,TIME_PERIOD
A,ALB,CLAS1_10,_Z,DIGITAL,0,2014
A,ALB,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,ALB,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,ALB,CLAS1_8,_Z,DIGITAL,0,2014
A,ALB,CLAS1_9,_Z,DIGITAL,0,2014
A,ALB,STRI,_Z,DIGITAL,.1005872711539268,2014
A,ARG,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,ARG,CLAS1_6,_Z,DIGITAL,.1983747631311417,2014
A,ARG,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,ARG,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,ARG,CLAS1_9,_Z,DIGITAL,0,2014
A,ARG,STRI,_Z,DIGITAL,.2812073230743408,2014
A,AUS,CLAS1_10,_Z,DIGITAL,0,2014
A,AUS,CLAS1_6,_Z,DIGITAL,0,2014
A,AUS,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,AUS,CLAS1_8,_Z,DIGITAL,0,2014
A,AUS,CLAS1_9,_Z,DIGITAL,0,2014
A,AUS,STRI,_Z,DIGITAL,.0212373677641153,2014
A,AUT,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,AUT,CLAS1_6,_Z,DIGITAL,0,2014
A,AUT,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,AUT,CLAS1_8,_Z,DIGITAL,0,2014
A,AUT,CLAS1_9,_Z,DIGITAL,0,2014
A,AUT,STRI,_Z,DIGITAL,.0431917533278465,2014
A,BEL,CLAS1_10,_Z,DIGITAL,0,2014
A,BEL,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,BEL,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,BEL,CLAS1_8,_Z,DIGITAL,0,2014
A,BEL,CLAS1_9,_Z,DIGITAL,0,2014
A,BEL,STRI,_Z,DIGITAL,.1005872711539268,2014
A,BEN,CLAS1_10,_Z,DIGITAL,0,2014
A,BEN,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,BEN,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,BEN,CLAS1_8,_Z,DIGITAL,0,2014
A,BEN,CLAS1_9,_Z,DIGITAL,0,2014
A,BEN,STRI,_Z,DIGITAL,.1005872711539268,2014
A,BIH,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,BIH,CLAS1_6,_Z,DIGITAL,.3173996210098267,2014
A,BIH,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,BIH,CLAS1_8,_Z,DIGITAL,0,2014
A,BIH,CLAS1_9,_Z,DIGITAL,0,2014
A,BIH,STRI,_Z,DIGITAL,.3605913817882538,2014
A,BOL,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,BOL,CLAS1_6,_Z,DIGITAL,.23804971575737,2014
A,BOL,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,BOL,CLAS1_8,_Z,DIGITAL,0,2014
A,BOL,CLAS1_9,_Z,DIGITAL,0,2014
A,BOL,STRI,_Z,DIGITAL,.2812414765357971,2014
A,BRA,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,BRA,CLAS1_6,_Z,DIGITAL,.1983747631311417,2014
A,BRA,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,BRA,CLAS1_8,_Z,DIGITAL,0,2014
A,BRA,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,BRA,STRI,_Z,DIGITAL,.2844509780406952,2014
A,BRN,CLAS1_10,_Z,DIGITAL,.1097719185054302,2014
A,BRN,CLAS1_6,_Z,DIGITAL,.119024857878685,2014
A,BRN,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,BRN,CLAS1_8,_Z,DIGITAL,0,2014
A,BRN,CLAS1_9,_Z,DIGITAL,0,2014
A,BRN,STRI,_Z,DIGITAL,.2712714970111847,2014
A,CAN,CLAS1_10,_Z,DIGITAL,0,2014
A,CAN,CLAS1_6,_Z,DIGITAL,0,2014
A,CAN,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,CAN,CLAS1_8,_Z,DIGITAL,0,2014
A,CAN,CLAS1_9,_Z,DIGITAL,0,2014
A,CAN,STRI,_Z,DIGITAL,.0212373677641153,2014
A,CHE,CLAS1_10,_Z,DIGITAL,0,2014
A,CHE,CLAS1_6,_Z,DIGITAL,0,2014
A,CHE,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,CHE,CLAS1_8,_Z,DIGITAL,0,2014
A,CHE,CLAS1_9,_Z,DIGITAL,0,2014
A,CHE,STRI,_Z,DIGITAL,.0212373677641153,2014
A,CHL,CLAS1_10,_Z,DIGITAL,0,2014
A,CHL,CLAS1_6,_Z,DIGITAL,.1983747631311417,2014
A,CHL,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,CHL,CLAS1_8,_Z,DIGITAL,0,2014
A,CHL,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,CHL,STRI,_Z,DIGITAL,.2624965906143188,2014
A,CHN,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
A,CHN,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,CHN,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,CHN,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,CHN,CLAS1_9,_Z,DIGITAL,0,2014
A,CHN,STRI,_Z,DIGITAL,.184136837720871,2014
A,CMR,CLAS1_10,_Z,DIGITAL,.0878175348043442,2014
A,CMR,CLAS1_6,_Z,DIGITAL,.119024857878685,2014
A,CMR,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,CMR,CLAS1_8,_Z,DIGITAL,0,2014
A,CMR,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,CMR,STRI,_Z,DIGITAL,.2709642052650452,2014
A,COL,CLAS1_10,_Z,DIGITAL,0,2014
A,COL,CLAS1_6,_Z,DIGITAL,.23804971575737,2014
A,COL,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,COL,CLAS1_8,_Z,DIGITAL,0,2014
A,COL,CLAS1_9,_Z,DIGITAL,0,2014
A,COL,STRI,_Z,DIGITAL,.2592870891094208,2014
A,CRI,CLAS1_10,_Z,DIGITAL,0,2014
A,CRI,CLAS1_6,_Z,DIGITAL,0,2014
A,CRI,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,CRI,CLAS1_8,_Z,DIGITAL,0,2014
A,CRI,CLAS1_9,_Z,DIGITAL,0,2014
A,CRI,STRI,_Z,DIGITAL,.0424747355282307,2014
A,CZE,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,CZE,CLAS1_6,_Z,DIGITAL,.0396749526262283,2014
A,CZE,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,CZE,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,CZE,CLAS1_9,_Z,DIGITAL,0,2014
A,CZE,STRI,_Z,DIGITAL,.1012701392173767,2014
